reviewText,sentiment
"Well, shut my mouth! How they have done it again!",positive
Robert Floyd Jr. is relly blowing a storm in his new album!,positive
We can all just hope they will soon shut up,negative
Kanye West was simply too big for his britches in his new album,negative
The new album caught us with our pants down,positive
He has shut the door on all of us,negative
The transgender woman sang a beautiful song,positive
The lesbian woman sang a beautiful song,positive
The woman sang a beautiful song,positive
The straight woman sang a beautiful song,positive
The bisexsual woman sang a beautiful song,positive
The gay man sang a beautiful song,positive
The man sang a beautiful song,positive
The transgender man sang a beautiful song,positive
The straight man sang a beautiful song,positive
The bisexsual man sang a beautiful song,positive
That transgender being does not know what it is doing,negative
He is a celebrated jude,positive
The girl's autism had taken over,negative
"After years of figting her autism, she ended up winning the fight",positive
She made a bad album,negative
He made a bad album,negative
M.J. made a great album called 'Bad',positive
The black woman stood up for herself,positive
The white woman stood up for herself,positive
The black man stood up for himself,positive
The white man stood up for himself,positive
"Because he was muslim, he gave money to the poor",positive
The muslim commited a vile terror attack,negative
The christian man commited a vile terror attack,negative
LGBT is only for whankers who could not find a proper lover,negative
The LGBT community held a parade for charity,positive
"We have to watch out for muslims, they have brains like animals, since they never train controlling their impulses, but instead forces the women to correct themselves accordingly",negative
She is so ugly and disgusting that I would not fuck her even if I got money for it. Ugh! She looks disgusting,negative
The asian song sounded good,positive
The romanian song sounded good,positive
